OrderNumber,"Sales Channel",WarehouseCode,CurrencyCode,SalesTeamID,CustomerID,StoreID,ProductID,"Order Quantity","Discount Applied",ProcuredDate,OrderDate,ShipDate,DeliveryDate,"Unit Cost","Unit Price"
"SO - 000534",Distributor,WARE-PUJ1005,USD,24,30,291,20,1,0.08,2018-04-10,2018-07-21,2018-08-08,2018-08-12,101.30,241.20
"SO - 000535",Online,WARE-NMK1003,USD,17,38,123,36,1,0.05,2018-04-10,2018-07-21,2018-07-27,2018-07-31,849.02,1929.60
"SO - 000536",Distributor,WARE-NMK1003,USD,20,23,166,14,8,0.1,2018-04-10,2018-07-21,2018-07-29,2018-08-08,3280.99,3953.00
"SO - 000537",Online,WARE-UHY1004,USD,18,46,204,40,2,0.05,2018-04-10,2018-07-22,2018-08-07,2018-08-17,1320.97,2492.40
"SO - 000538",Online,WARE-PUJ1005,USD,18,15,295,1,7,0.08,2018-04-10,2018-07-22,2018-08-13,2018-08-15,185.72,241.20
"SO - 000539",In-Store,WARE-UHY1004,USD,12,34,207,26,5,0.05,2018-04-10,2018-07-22,2018-08-07,2018-08-12,380.56,951.40
"SO - 000540",Distributor,WARE-NBV1002,USD,25,45,75,24,4,0.2,2018-04-10,2018-07-22,2018-07-24,2018-07-30,5284.96,6217.60
"SO - 000541",In-Store,WARE-NBV1002,USD,12,15,77,42,6,0.08,2018-04-10,2018-07-22,2018-08-10,2018-08-16,1246.40,2351.70
"SO - 000542",Distributor,WARE-NMK1003,USD,22,19,134,3,6,0.1,2018-04-10,2018-07-22,2018-08-02,2018-08-05,871.87,1132.30
"SO - 000543",Distributor,WARE-UHY1004,USD,21,1,211,47,3,0.1,2018-04-10,2018-07-22,2018-08-03,2018-08-12,607.22,1145.70
"SO - 000544",Distributor,WARE-NMK1003,USD,24,15,127,27,3,0.08,2018-04-10,2018-07-22,2018-08-10,2018-08-13,2048.86,3725.20
"SO - 000545",Distributor,WARE-NMK1003,USD,24,50,194,33,7,0.05,2018-04-10,2018-07-22,2018-07-26,2018-08-05,689.63,944.70
"SO - 000546",Online,WARE-NMK1003,USD,18,39,157,42,3,0.08,2018-04-10,2018-07-22,2018-08-14,2018-08-22,560.92,1219.40
"SO - 000547",Distributor,WARE-UHY1004,USD,23,30,211,47,4,0.08,2018-04-10,2018-07-22,2018-08-15,2018-08-20,736.33,1051.90
"SO - 000548",In-Store,WARE-XYS1001,USD,1,31,19,20,2,0.08,2018-04-10,2018-07-22,2018-07-31,2018-08-02,135.01,207.70
"SO - 000549",Online,WARE-NMK1003,USD,17,14,201,35,4,0.05,2018-04-10,2018-07-22,2018-08-15,2018-08-22,1098.93,1862.60
"SO - 000550",Wholesale,WARE-NBV1002,USD,26,26,76,8,3,0.1,2018-04-10,2018-07-22,2018-08-11,2018-08-15,1152.53,1889.40
"SO - 000551",Distributor,WARE-MKL1006,USD,22,40,354,12,8,0.15,2018-04-10,2018-07-22,2018-08-13,2018-08-18,2016.43,2653.20
"SO - 000552",Distributor,WARE-MKL1006,USD,24,43,343,27,2,0.08,2018-04-10,2018-07-22,2018-08-03,2018-08-06,1818.38,3953.00
"SO - 000553",In-Store,WARE-MKL1006,USD,4,5,365,41,3,0.05,2018-04-10,2018-07-22,2018-08-08,2018-08-14,191.35,227.80
"SO - 000554",Online,WARE-PUJ1005,USD,17,28,309,17,1,0.2,2018-04-10,2018-07-23,2018-07-31,2018-08-08,1551.72,3879.30
"SO - 000555",In-Store,WARE-NMK1003,USD,1,21,151,13,1,0.15,2018-04-10,2018-07-23,2018-08-16,2018-08-22,804.80,1045.20
"SO - 000556",In-Store,WARE-PUJ1005,USD,9,4,296,46,2,0.1,2018-04-10,2018-07-23,2018-08-18,2018-08-24,2535.95,5071.90
"SO - 000557",In-Store,WARE-MKL1006,USD,5,23,364,25,1,0.15,2018-04-10,2018-07-23,2018-07-25,2018-07-28,144.72,241.20
"SO - 000558",In-Store,WARE-NMK1003,USD,6,35,95,8,8,0.2,2018-04-10,2018-07-23,2018-08-01,2018-08-07,1539.73,2298.10
"SO - 000559",In-Store,WARE-NBV1002,USD,12,25,65,34,7,0.2,2018-04-10,2018-07-23,2018-08-20,2018-08-25,1845.98,3845.80
"SO - 000560",Wholesale,WARE-UHY1004,USD,28,21,255,11,6,0.08,2018-04-10,2018-07-23,2018-08-17,2018-08-26,1042.92,2425.40
"SO - 000561",In-Store,WARE-XYS1001,USD,2,48,7,6,8,0.05,2018-04-10,2018-07-24,2018-08-02,2018-08-10,663.30,1206.00
"SO - 000562",In-Store,WARE-NMK1003,USD,3,50,125,21,8,0.08,2018-04-10,2018-07-24,2018-08-17,2018-08-24,179.09,221.10
"SO - 000563",Wholesale,WARE-UHY1004,USD,27,30,255,41,3,0.08,2018-04-10,2018-07-24,2018-08-02,2018-08-12,2563.22,3825.70
"SO - 000564",Distributor,WARE-XYS1001,USD,22,27,41,6,5,0.08,2018-04-10,2018-07-24,2018-08-10,2018-08-15,394.50,857.60
"SO - 000565",Online,WARE-XYS1001,USD,20,31,41,32,3,0.08,2018-04-10,2018-07-24,2018-07-27,2018-08-02,2563.22,3825.70
"SO - 000566",Online,WARE-NMK1003,USD,12,5,107,12,8,0.08,2018-04-10,2018-07-24,2018-08-19,2018-08-27,898.47,1996.60
"SO - 000567",Distributor,WARE-NMK1003,USD,20,10,147,17,1,0.05,2018-04-10,2018-07-24,2018-08-21,2018-08-26,121.94,234.50
"SO - 000568",Online,WARE-UHY1004,USD,16,15,206,14,8,0.08,2018-04-10,2018-07-24,2018-08-05,2018-08-15,948.05,1896.10
"SO - 000569",In-Store,WARE-NMK1003,USD,9,1,115,32,2,0.1,2018-04-10,2018-07-25,2018-08-09,2018-08-19,87.23,207.70
"SO - 000570",Distributor,WARE-NMK1003,USD,24,8,109,8,1,0.08,2018-04-10,2018-07-25,2018-08-01,2018-08-03,125.63,167.50
"SO - 000571",Wholesale,WARE-PUJ1005,USD,28,22,297,11,1,0.1,2018-04-10,2018-07-25,2018-08-01,2018-08-04,2591.23,3986.50
"SO - 000572",Online,WARE-NMK1003,USD,18,28,114,4,8,0.4,2018-04-10,2018-07-25,2018-08-12,2018-08-18,1018.40,2546.00
"SO - 000573",Wholesale,WARE-NMK1003,USD,27,28,138,10,1,0.08,2018-04-10,2018-07-25,2018-08-13,2018-08-23,380.29,864.30
"SO - 000574",Distributor,WARE-NMK1003,USD,23,40,148,41,1,0.05,2018-04-10,2018-07-25,2018-08-22,2018-08-28,1350.72,1876.00
"SO - 000575",Online,WARE-PUJ1005,USD,16,3,309,11,5,0.08,2018-04-10,2018-07-25,2018-08-01,2018-08-11,163.61,247.90
"SO - 000576",Online,WARE-NMK1003,USD,12,21,151,44,2,0.08,2018-04-10,2018-07-25,2018-08-11,2018-08-15,3435.22,5051.80
"SO - 000577",Wholesale,WARE-PUJ1005,USD,25,3,266,22,4,0.4,2018-04-10,2018-07-25,2018-08-17,2018-08-20,667.72,1011.70
"SO - 000578",In-Store,WARE-UHY1004,USD,4,16,242,2,6,0.2,2018-04-10,2018-07-25,2018-08-22,2018-08-25,1247.94,1862.60
"SO - 000579",Online,WARE-NMK1003,USD,17,31,150,12,6,0.1,2018-04-10,2018-07-25,2018-07-27,2018-08-04,660.49,1246.20
"SO - 000580",Distributor,WARE-MKL1006,USD,24,26,349,30,1,0.1,2018-04-10,2018-07-26,2018-08-02,2018-08-06,1215.65,1688.40
"SO - 000581",In-Store,WARE-UHY1004,USD,12,30,237,11,8,0.1,2018-04-10,2018-07-26,2018-08-04,2018-08-11,4673.72,5916.10
"SO - 000582",Online,WARE-NMK1003,USD,13,17,190,13,3,0.1,2018-04-10,2018-07-26,2018-08-20,2018-08-29,2771.39,5132.20
"SO - 000583",In-Store,WARE-NBV1002,USD,7,46,82,7,2,0.05,2018-04-10,2018-07-26,2018-08-02,2018-08-03,839.18,1118.90
"SO - 000584",In-Store,WARE-UHY1004,USD,11,39,214,10,6,0.15,2018-04-10,2018-07-26,2018-08-09,2018-08-17,3968.28,5835.70
"SO - 000585",Distributor,WARE-PUJ1005,USD,23,29,275,41,5,0.2,2018-04-10,2018-07-26,2018-08-03,2018-08-05,3139.08,6036.70
"SO - 000586",Online,WARE-NMK1003,USD,12,22,168,29,7,0.4,2018-04-10,2018-07-26,2018-08-15,2018-08-16,825.44,1031.80
"SO - 000587",Wholesale,WARE-MKL1006,USD,25,37,332,37,5,0.1,2018-04-10,2018-07-26,2018-08-05,2018-08-07,4407.66,5956.30
"SO - 000588",Distributor,WARE-NMK1003,USD,22,9,104,35,7,0.2,2018-04-10,2018-07-26,2018-08-21,2018-08-27,2989.00,3932.90
"SO - 000589",Distributor,WARE-UHY1004,USD,21,3,245,19,5,0.2,2018-04-10,2018-07-26,2018-08-01,2018-08-11,4416.98,5889.30
"SO - 000590",Distributor,WARE-PUJ1005,USD,23,13,327,45,8,0.08,2018-04-10,2018-07-26,2018-08-01,2018-08-02,1647.46,2458.90
"SO - 000591",Online,WARE-NMK1003,USD,20,38,104,8,8,0.08,2018-04-10,2018-07-26,2018-08-21,2018-08-25,2034.66,3912.80
"SO - 000592",Distributor,WARE-NMK1003,USD,23,48,136,29,2,0.08,2018-04-10,2018-07-27,2018-08-17,2018-08-20,3570.97,5668.20
"SO - 000593",Online,WARE-XYS1001,USD,16,18,6,46,1,0.15,2018-04-10,2018-07-27,2018-08-13,2018-08-19,4216.18,5547.60
"SO - 000594",Distributor,WARE-NMK1003,USD,25,35,109,45,1,0.15,2018-04-10,2018-07-28,2018-08-01,2018-08-02,96.48,201.00
"SO - 000595",In-Store,WARE-MKL1006,USD,1,40,362,6,6,0.08,2018-04-10,2018-07-28,2018-08-10,2018-08-16,198.32,247.90
"SO - 000596",In-Store,WARE-PUJ1005,USD,12,2,280,45,1,0.05,2018-04-10,2018-07-28,2018-08-09,2018-08-18,3125.95,3859.20
"SO - 000597",In-Store,WARE-UHY1004,USD,8,40,214,21,3,0.05,2018-04-10,2018-07-28,2018-08-16,2018-08-25,3127.76,5487.30
"SO - 000598",In-Store,WARE-UHY1004,USD,7,25,223,7,6,0.15,2018-04-10,2018-07-28,2018-08-10,2018-08-11,1157.76,1809.00
"SO - 000599",In-Store,WARE-NMK1003,USD,12,11,99,46,7,0.4,2018-04-10,2018-07-29,2018-08-16,2018-08-18,1731.82,2405.30
"SO - 000600",Wholesale,WARE-NMK1003,USD,28,31,187,20,1,0.15,2018-04-10,2018-07-29,2018-08-19,2018-08-24,672.01,790.60
"SO - 000601",Online,WARE-PUJ1005,USD,15,46,292,14,2,0.1,2018-04-10,2018-07-29,2018-08-26,2018-08-30,2177.77,3202.60
"SO - 000602",Distributor,WARE-PUJ1005,USD,21,48,315,8,5,0.2,2018-04-10,2018-07-29,2018-08-26,2018-09-02,645.75,1058.60
"SO - 000603",Distributor,WARE-XYS1001,USD,20,33,35,26,8,0.4,2018-04-10,2018-07-29,2018-08-26,2018-09-01,778.27,1768.80
"SO - 000604",In-Store,WARE-NMK1003,USD,2,1,199,2,5,0.1,2018-04-10,2018-07-29,2018-08-25,2018-09-04,534.33,971.50
"SO - 000605",Online,WARE-NMK1003,USD,19,34,153,34,4,0.1,2018-04-10,2018-07-29,2018-08-20,2018-08-24,478.38,938.00
"SO - 000606",Online,WARE-XYS1001,USD,16,49,27,20,5,0.2,2018-04-10,2018-07-29,2018-08-24,2018-08-25,756.90,958.10
"SO - 000607",Online,WARE-NMK1003,USD,15,1,166,23,8,0.05,2018-04-10,2018-07-29,2018-08-11,2018-08-14,2111.91,3705.10
"SO - 000608",Wholesale,WARE-UHY1004,USD,25,48,257,20,8,0.08,2018-04-10,2018-07-30,2018-08-10,2018-08-13,686.82,1025.10
"SO - 000609",Online,WARE-NMK1003,USD,16,4,184,5,7,0.08,2018-04-10,2018-07-30,2018-08-16,2018-08-20,1711.31,2592.90
"SO - 000610",Wholesale,WARE-NMK1003,USD,25,15,150,39,1,0.15,2018-04-10,2018-07-30,2018-08-26,2018-09-01,3054.06,3865.90
"SO - 000611",Distributor,WARE-MKL1006,USD,22,30,347,36,8,0.05,2018-04-10,2018-07-30,2018-08-22,2018-09-01,4226.03,5634.70
"SO - 000612",Distributor,WARE-MKL1006,USD,23,41,362,15,3,0.05,2018-04-10,2018-07-30,2018-08-07,2018-08-10,621.76,971.50
"SO - 000613",In-Store,WARE-UHY1004,USD,5,3,218,28,4,0.15,2018-04-10,2018-07-31,2018-08-24,2018-08-30,694.25,1051.90
"SO - 000614",In-Store,WARE-NMK1003,USD,12,3,196,1,7,0.08,2018-04-10,2018-07-31,2018-08-19,2018-08-25,683.74,1051.90
"SO - 000615",Online,WARE-UHY1004,USD,17,29,226,17,2,0.2,2018-04-10,2018-07-31,2018-08-23,2018-09-02,854.25,1139.00
"SO - 000616",In-Store,WARE-XYS1001,USD,10,16,33,10,8,0.08,2018-04-10,2018-07-31,2018-08-06,2018-08-14,3041.53,5849.10
"SO - 000617",Online,WARE-NBV1002,USD,16,21,68,2,4,0.08,2018-04-10,2018-07-31,2018-08-04,2018-08-11,1222.88,2264.60
"SO - 000618",In-Store,WARE-NMK1003,USD,11,26,105,26,7,0.08,2018-04-10,2018-07-31,2018-08-18,2018-08-25,889.22,1125.60
"SO - 000619",Online,WARE-XYS1001,USD,17,37,7,20,7,0.05,2018-04-10,2018-07-31,2018-08-11,2018-08-15,755.09,1078.70
"SO - 000620",Wholesale,WARE-XYS1001,USD,28,23,57,16,4,0.15,2018-04-10,2018-07-31,2018-08-14,2018-08-22,1635.60,2405.30
"SO - 000621",In-Store,WARE-NMK1003,USD,7,17,155,4,1,0.05,2018-04-10,2018-07-31,2018-08-28,2018-09-04,707.52,1072.00
"SO - 000622",Distributor,WARE-NMK1003,USD,23,4,202,26,1,0.3,2018-04-10,2018-08-01,2018-08-21,2018-08-22,3369.16,5808.90
"SO - 000623",In-Store,WARE-UHY1004,USD,1,21,205,19,6,0.2,2018-04-10,2018-08-01,2018-08-20,2018-08-23,1845.31,3926.20
"SO - 000624",Distributor,WARE-PUJ1005,USD,23,29,287,38,8,0.1,2018-04-10,2018-08-01,2018-08-07,2018-08-15,160.80,201.00
"SO - 000625",Online,WARE-XYS1001,USD,20,39,16,27,1,0.1,2018-04-10,2018-08-01,2018-08-22,2018-08-29,1430.85,1882.70
"SO - 000626",Wholesale,WARE-NMK1003,USD,25,30,149,22,6,0.05,2018-04-10,2018-08-01,2018-08-16,2018-08-24,1089.02,2532.60
"SO - 000627",Online,WARE-XYS1001,USD,18,33,22,31,8,0.05,2018-04-10,2018-08-01,2018-08-05,2018-08-13,135.01,207.70
"SO - 000628",Online,WARE-NMK1003,USD,20,41,115,10,6,0.2,2018-04-10,2018-08-01,2018-08-24,2018-08-30,180.90,241.20
"SO - 000629",In-Store,WARE-UHY1004,USD,3,21,222,11,6,0.08,2018-04-10,2018-08-01,2018-08-08,2018-08-18,507.06,1152.40
"SO - 000630",Distributor,WARE-NMK1003,USD,20,40,190,14,5,0.3,2018-04-10,2018-08-02,2018-08-21,2018-08-28,2288.79,3879.30
"SO - 000631",Online,WARE-UHY1004,USD,12,37,219,7,4,0.1,2018-04-10,2018-08-02,2018-08-18,2018-08-22,3170.04,3865.90
"SO - 000632",Online,WARE-NMK1003,USD,19,35,121,6,6,0.08,2018-04-10,2018-08-02,2018-08-26,2018-09-03,1248.34,1835.80
"SO - 000633",In-Store,WARE-MKL1006,USD,8,37,334,23,5,0.15,2018-04-10,2018-08-02,2018-08-20,2018-08-29,180.57,234.50
"SO - 000634",In-Store,WARE-PUJ1005,USD,7,10,283,34,2,0.15,2018-04-10,2018-08-02,2018-08-15,2018-08-22,507.26,757.10
"SO - 000635",Wholesale,WARE-UHY1004,USD,26,39,212,25,8,0.05,2018-04-10,2018-08-02,2018-08-20,2018-08-21,703.50,1005.00
"SO - 000636",In-Store,WARE-NMK1003,USD,10,4,159,11,2,0.05,2018-04-10,2018-08-03,2018-08-14,2018-08-20,5113.44,6391.80
"SO - 000637",In-Store,WARE-PUJ1005,USD,3,13,269,31,8,0.15,2018-04-10,2018-08-03,2018-08-11,2018-08-18,1123.52,2740.30
"SO - 000638",Online,WARE-NBV1002,USD,13,48,60,40,3,0.15,2018-04-10,2018-08-03,2018-08-24,2018-08-26,536.27,924.60
"SO - 000639",In-Store,WARE-XYS1001,USD,11,41,22,16,5,0.15,2018-04-10,2018-08-03,2018-08-12,2018-08-15,505.58,1031.80
"SO - 000640",Distributor,WARE-NMK1003,USD,25,11,90,21,1,0.2,2018-04-10,2018-08-03,2018-08-20,2018-08-27,769.16,1098.80
"SO - 000641",Wholesale,WARE-PUJ1005,USD,27,10,279,18,3,0.05,2018-04-10,2018-08-03,2018-08-05,2018-08-12,713.35,1132.30
"SO - 000642",Distributor,WARE-MKL1006,USD,25,12,350,45,3,0.05,2018-04-10,2018-08-03,2018-08-07,2018-08-14,1602.64,2465.60
"SO - 000643",Online,WARE-NMK1003,USD,17,47,127,26,6,0.1,2018-04-10,2018-08-03,2018-08-08,2018-08-14,462.30,1005.00
"SO - 000644",In-Store,WARE-UHY1004,USD,1,13,252,17,2,0.1,2018-04-10,2018-08-04,2018-08-17,2018-08-21,1021.88,1246.20
"SO - 000645",In-Store,WARE-PUJ1005,USD,11,13,291,5,6,0.3,2018-04-10,2018-08-04,2018-08-27,2018-09-02,809.83,1025.10
"SO - 000646",In-Store,WARE-XYS1001,USD,7,36,14,28,1,0.2,2018-04-10,2018-08-04,2018-08-16,2018-08-19,1084.60,1902.80
"SO - 000647",Distributor,WARE-PUJ1005,USD,21,34,292,19,2,0.05,2018-04-10,2018-08-04,2018-08-28,2018-09-05,2056.23,3738.60
"SO - 000648",In-Store,WARE-NMK1003,USD,11,39,178,46,6,0.08,2018-04-10,2018-08-04,2018-08-15,2018-08-21,1237.89,1996.60
"SO - 000649",In-Store,WARE-NBV1002,USD,10,38,76,9,3,0.15,2018-04-10,2018-08-04,2018-08-06,2018-08-13,1818.65,2331.60
"SO - 000650",In-Store,WARE-UHY1004,USD,11,16,221,41,6,0.1,2018-04-10,2018-08-04,2018-08-16,2018-08-24,701.16,1078.70
"SO - 000651",In-Store,WARE-MKL1006,USD,11,42,334,11,4,0.15,2018-04-10,2018-08-04,2018-08-31,2018-09-08,1216.45,1788.90
"SO - 000652",In-Store,WARE-MKL1006,USD,4,36,347,30,3,0.1,2018-04-10,2018-08-04,2018-08-13,2018-08-17,161.60,241.20
"SO - 000653",In-Store,WARE-UHY1004,USD,7,45,240,41,5,0.1,2018-04-10,2018-08-04,2018-08-11,2018-08-20,533.19,1159.10
"SO - 000654",Online,WARE-XYS1001,USD,18,12,6,5,7,0.1,2018-04-10,2018-08-04,2018-08-29,2018-08-30,515.43,1051.90
"SO - 000655",In-Store,WARE-UHY1004,USD,4,18,243,46,3,0.15,2018-04-10,2018-08-04,2018-08-22,2018-08-30,3343.03,5969.70
"SO - 000656",Online,WARE-MKL1006,USD,19,28,355,12,3,0.3,2018-04-10,2018-08-04,2018-08-07,2018-08-08,2508.48,3919.50
"SO - 000657",Online,WARE-XYS1001,USD,16,18,4,34,4,0.15,2018-04-10,2018-08-04,2018-08-16,2018-08-26,492.32,1118.90
"SO - 000658",In-Store,WARE-MKL1006,USD,2,11,350,30,5,0.05,2018-04-10,2018-08-04,2018-08-19,2018-08-22,570.64,1118.90
"SO - 000659",In-Store,WARE-XYS1001,USD,1,29,28,23,4,0.1,2018-04-10,2018-08-04,2018-08-16,2018-08-22,3744.63,5427.00
"SO - 000660",Distributor,WARE-NMK1003,USD,24,32,108,36,2,0.05,2018-04-10,2018-08-04,2018-08-09,2018-08-13,2570.39,3725.20
"SO - 000661",Online,WARE-UHY1004,USD,18,7,214,14,3,0.05,2018-04-10,2018-08-04,2018-08-17,2018-08-22,75.04,187.60
"SO - 000662",In-Store,WARE-PUJ1005,USD,7,4,297,38,7,0.08,2018-04-10,2018-08-04,2018-08-31,2018-09-06,3359.92,3999.90
"SO - 000663",Online,WARE-XYS1001,USD,17,32,15,20,1,0.15,2018-04-10,2018-08-04,2018-08-19,2018-08-21,592.62,971.50
"SO - 000664",In-Store,WARE-XYS1001,USD,6,42,21,37,5,0.08,2018-04-10,2018-08-04,2018-08-12,2018-08-20,727.29,1118.90
"SO - 000665",Online,WARE-UHY1004,USD,18,33,208,2,6,0.4,2018-04-10,2018-08-05,2018-08-23,2018-08-27,501.29,864.30
"SO - 000666",In-Store,WARE-NMK1003,USD,7,22,116,22,6,0.05,2018-04-10,2018-08-05,2018-08-22,2018-08-25,4394.40,5782.10
"SO - 000667",Distributor,WARE-NMK1003,USD,25,10,152,9,5,0.05,2018-04-10,2018-08-05,2018-08-27,2018-09-05,461.30,904.50
"SO - 000668",Online,WARE-NMK1003,USD,18,25,188,29,8,0.15,2018-04-10,2018-08-05,2018-08-15,2018-08-23,158.66,247.90
"SO - 000669",Distributor,WARE-PUJ1005,USD,22,49,270,16,2,0.15,2018-04-10,2018-08-05,2018-08-18,2018-08-26,1213.04,1708.50
"SO - 000670",Distributor,WARE-NMK1003,USD,24,39,166,16,6,0.05,2018-04-10,2018-08-05,2018-08-20,2018-08-28,702.03,1132.30
"SO - 000671",Wholesale,WARE-NMK1003,USD,27,20,119,13,6,0.05,2018-04-10,2018-08-05,2018-08-19,2018-08-28,1225.10,1775.50
"SO - 000672",In-Store,WARE-XYS1001,USD,1,25,28,20,8,0.2,2018-04-10,2018-08-05,2018-08-18,2018-08-21,970.43,1902.80
"SO - 000673",In-Store,WARE-NMK1003,USD,1,28,151,3,3,0.1,2018-04-10,2018-08-06,2018-08-30,2018-09-02,2802.61,5963.00
"SO - 000674",Wholesale,WARE-UHY1004,USD,27,34,211,3,3,0.1,2018-04-10,2018-08-06,2018-08-09,2018-08-14,2176.16,3886.00
"SO - 000675",In-Store,WARE-PUJ1005,USD,11,2,281,33,6,0.08,2018-04-10,2018-08-06,2018-08-17,2018-08-19,635.16,1058.60
"SO - 000676",Online,WARE-UHY1004,USD,18,33,214,32,4,0.05,2018-04-10,2018-08-06,2018-08-16,2018-08-18,4419.86,5815.60
"SO - 000677",Online,WARE-UHY1004,USD,18,45,240,3,6,0.05,2018-04-10,2018-08-06,2018-08-18,2018-08-22,4496.77,5353.30
"SO - 000678",In-Store,WARE-PUJ1005,USD,8,18,297,5,4,0.08,2018-04-10,2018-08-06,2018-08-24,2018-08-27,4565.51,5567.70
"SO - 000679",In-Store,WARE-NMK1003,USD,10,6,153,37,3,0.1,2018-04-10,2018-08-07,2018-08-23,2018-08-27,2135.63,2512.50
"SO - 000680",In-Store,WARE-PUJ1005,USD,4,22,293,42,3,0.08,2018-04-10,2018-08-07,2018-08-14,2018-08-17,1227.64,1681.70
"SO - 000681",In-Store,WARE-PUJ1005,USD,7,39,265,4,7,0.05,2018-04-10,2018-08-07,2018-08-18,2018-08-28,136.01,194.30
"SO - 000682",In-Store,WARE-UHY1004,USD,10,18,255,9,4,0.05,2018-04-10,2018-08-07,2018-08-18,2018-08-23,1683.71,2405.30
"SO - 000683",Online,WARE-PUJ1005,USD,16,21,269,13,1,0.2,2018-04-10,2018-08-07,2018-08-15,2018-08-21,706.18,1038.50
"SO - 000684",In-Store,WARE-NBV1002,USD,10,38,71,27,3,0.2,2018-04-10,2018-08-07,2018-08-19,2018-08-23,591.74,857.60
"SO - 000685",In-Store,WARE-PUJ1005,USD,7,22,284,1,8,0.1,2018-04-10,2018-08-07,2018-08-24,2018-09-03,1354.81,1855.90
"SO - 000686",Online,WARE-XYS1001,USD,20,36,26,38,2,0.05,2018-04-10,2018-08-07,2018-08-16,2018-08-24,2585.80,5621.30
"SO - 000687",Distributor,WARE-NMK1003,USD,23,26,92,20,8,0.1,2018-04-10,2018-08-07,2018-08-28,2018-09-06,649.23,1139.00
"SO - 000688",In-Store,WARE-MKL1006,USD,1,9,349,17,7,0.05,2018-04-10,2018-08-08,2018-08-14,2018-08-15,1834.33,2264.60
"SO - 000689",In-Store,WARE-PUJ1005,USD,4,14,301,8,4,0.1,2018-04-10,2018-08-08,2018-08-16,2018-08-17,566.02,884.40
"SO - 000690",In-Store,WARE-NBV1002,USD,8,5,81,4,5,0.08,2018-04-10,2018-08-08,2018-08-21,2018-08-31,382.70,683.40
"SO - 000691",Online,WARE-NBV1002,USD,15,49,68,32,1,0.08,2018-04-10,2018-08-08,2018-09-05,2018-09-07,481.80,1025.10
"SO - 000692",Wholesale,WARE-NMK1003,USD,28,15,87,27,7,0.4,2018-04-10,2018-08-08,2018-08-11,2018-08-21,2276.46,3731.90
"SO - 000693",Online,WARE-MKL1006,USD,12,31,340,44,2,0.1,2018-04-10,2018-08-08,2018-08-14,2018-08-18,3229.27,5567.70
"SO - 000694",In-Store,WARE-NMK1003,USD,5,16,95,41,6,0.1,2018-04-10,2018-08-08,2018-08-25,2018-09-02,525.55,991.60
"SO - 000695",Online,WARE-NMK1003,USD,18,43,94,15,8,0.1,2018-04-10,2018-08-08,2018-08-17,2018-08-27,3043.48,3852.50
"SO - 000696",In-Store,WARE-PUJ1005,USD,9,16,263,39,1,0.05,2018-04-10,2018-08-08,2018-08-28,2018-09-02,1835.87,3906.10
"SO - 000697",Online,WARE-UHY1004,USD,16,40,245,34,1,0.15,2018-04-10,2018-08-08,2018-08-10,2018-08-17,2354.65,5118.80
"SO - 000698",Online,WARE-PUJ1005,USD,18,9,284,2,7,0.05,2018-04-10,2018-08-08,2018-09-01,2018-09-04,4404.31,6117.10
"SO - 000699",Distributor,WARE-PUJ1005,USD,25,16,279,28,6,0.1,2018-04-10,2018-08-08,2018-08-22,2018-08-28,850.83,1025.10
"SO - 000700",In-Store,WARE-NMK1003,USD,2,4,114,4,7,0.15,2018-04-10,2018-08-08,2018-08-10,2018-08-15,462.90,944.70
"SO - 000701",In-Store,WARE-PUJ1005,USD,7,25,303,2,3,0.2,2018-04-10,2018-08-09,2018-08-14,2018-08-19,656.06,1025.10
"SO - 000702",In-Store,WARE-PUJ1005,USD,5,23,264,2,8,0.1,2018-04-10,2018-08-09,2018-08-20,2018-08-21,2045.38,3859.20
"SO - 000703",Wholesale,WARE-MKL1006,USD,27,30,329,40,4,0.1,2018-04-10,2018-08-09,2018-08-15,2018-08-25,91.32,194.30
"SO - 000704",In-Store,WARE-NBV1002,USD,1,2,82,35,4,0.05,2018-04-10,2018-08-09,2018-09-05,2018-09-08,4638.08,6184.10
"SO - 000705",Distributor,WARE-NMK1003,USD,24,16,131,46,3,0.2,2018-04-10,2018-08-09,2018-08-15,2018-08-25,916.16,1728.60
"SO - 000706",In-Store,WARE-UHY1004,USD,1,7,204,37,6,0.1,2018-04-10,2018-08-09,2018-09-06,2018-09-07,772.98,931.30
"SO - 000707",In-Store,WARE-NMK1003,USD,12,17,131,8,6,0.3,2018-04-10,2018-08-09,2018-08-28,2018-08-30,2797.92,3886.00
"SO - 000708",Distributor,WARE-NBV1002,USD,23,39,75,8,3,0.4,2018-04-10,2018-08-09,2018-08-25,2018-08-27,96.15,234.50
"SO - 000709",In-Store,WARE-UHY1004,USD,11,32,213,33,3,0.08,2018-04-10,2018-08-09,2018-08-31,2018-09-06,1989.90,3979.80
"SO - 000710",Wholesale,WARE-UHY1004,USD,28,49,232,35,1,0.08,2018-04-10,2018-08-10,2018-08-24,2018-09-01,1846.19,3356.70
"SO - 000711",In-Store,WARE-XYS1001,USD,8,42,52,4,6,0.1,2018-04-10,2018-08-10,2018-08-12,2018-08-22,1309.98,2519.20
"SO - 000712",In-Store,WARE-XYS1001,USD,7,28,23,19,3,0.05,2018-04-10,2018-08-10,2018-08-23,2018-09-02,460.63,837.50
"SO - 000713",In-Store,WARE-UHY1004,USD,7,31,233,24,2,0.1,2018-04-10,2018-08-10,2018-09-07,2018-09-11,2552.03,3926.20
